"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"95","12","UP","1295CB018","","","","","95","12","UP","1295CB018","","","95","12","20","9","0","AM","01","0","0","0","0","COUNCIL BLUFFS","BERGER","71.0","29","0","2","1","049","R","17","3","16860","1","Y","EAST MAIN","5","003.16","1","ETRX","750572","076","Y","","","","","2","0","0","0","0","0","0","0","0","0","115","0","0","0","0","11","0","0","0","0","650390","72578","T204","","0","0","0","0","T204","1","5","049","722968","","29C071","0","000000","0","1","0","1","0","02","30","02","30","1","6","W","1L","0","COUBLU","E","97","3197","1995","0","0","0","0","0","0","FRANKLIN","071","","","","N","","","BROKEN FIELD WELD ON M.L. RESULTED IN DERAILMENT OF 11 CARS AND CAUSED DAMAGE TO ANOTHER 25 CARS.","","","","","","","","","","","","","","","","","","","","","","","",
"95","12","UP","1295CB019","","","","","95","12","UP","1295CB019","","","95","12","17","1","10","AM","12","0","0","0","0","COUNCIL BLUFFS","COUNCIL BLUFFS","0.5","19","29","4","2","003","E","15","3","3481","1","Y","YARD","1","","2","GATX","085590","008","Y","","","","","2","0","0","0","0","0","0","0","0","0","8","0","83","0","0","2","0","8","0","0","2382","7568","T110","","0","0","0","0","T110","2","1","003","9950","","19C155","0","000000","0","1","0","1","0","07","10","07","10","1","6","W","1L","0","COUBLU","N","61","3198","1995","0","0","0","0","0","0","POTTAWATTAMIE","155","","","","N","","","WHILE OPERATING ON 01-203, 10 CARS DERAILED DUE TO WIDE GAGE.","","","","","","","","","","","","","","","","","","","","","","","",
"95","12","UP","1295CE011","","","","","95","12","UP","1295CE011","","","95","12","24","8","0","PM","01","0","0","0","0","CHEYENNE","LARAMIE","566.0","56","10","4","1","010","R","24","4","7646","1","Y","YARD","1","","2","CRDX","011518","067","Y","","","","","3","0","0","0","0","0","0","0","0","0","85","0","0","0","0","5","0","0","0","0","3150","3638","H702","","0","0","0","0","H702","2","1","010","6788","","56C001","0","000000","0","1","0","1","0","08","00","08","00","1","6","W","1L","0","CHEYEN","NIM","33","3200","1995","0","0","0","0","0","0","ALBANY","001","","","","N","","","ZTS 01-10-99. RUN THROUGH SWITCH.","","","","","","","","","","","","","","","","","","","","","","","",
"95","12","UP","1295CE012","","","","","95","12","UP","1295CE012","","","95","12","30","9","15","PM","01","0","0","0","0","CHEYENNE","WAMSUTTER","724.2","56","20","4","6","004","R","28","4","0","1","Y","EAST MAIN","4","","1","TTGX","156016","016","N","TTGX","156016","016","N","2","0","0","0","0","0","0","0","0","0","49","0","20","0","0","0","0","1","0","0","10000","5833","H799","","0","0","0","0","H799","1","4","004","15833","","56C037","0","000000","0","1","0","1","0","05","20","05","20","1","8","W","1L","0","CHEYEN","GIM","194","3201","1995","0","0","0","0","0","0","SWEETWATER","037","","","","N","","","CONDUCTOR AFTER LINING SPRING SWITCH, WHILE INSPECTING MISSED GAP IN THE SWITCH POINT WHICH ALLOWED","THE L-1 WHEEL TO CLIMB THE FACE OF THE POINT AND FALL IN BETWEEN THE POINT AND THE STOCK RAIL.","","","","","","","","","","","","","","","","","","","","","","",
"95","12","NS","087111","95","12","CSX","129504007","95","12","NS","087111","","","95","12","20","9","30","AM","01","0","0","0","0","PIEDMONT","TRIBBLE","4.40","45","38","2","1","000","","","","0","","","2 MAIN LINE","1","0000.5","1","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2500","T110","","0","0","0","0","T110","1","1","005","15025","","45C007","0","","0","","","","","","","","","1","3","","1L","0","PIEDMO","","116","3149","1995","0","0","0","0","0","0","ANDERSON","007","","","","N","","","CSX TRAIN F78720 TRAVELING OVER NS TRACKAGE RIGHTS DERAILED ACCOUNT GAUGE OPENED UNDER MOVEMENT DUE","TO WEAK TIMBERS.","","","","","","","","","","","","","","","","","","","","","","",
"95","12","NW","087059","","","","","95","12","NW","087059","R020","","95","12","15","5","20","AM","01","0","0","0","0","VIRGINIA","SOUTH NORFOLK","3.20","51","38","4","1","003","R","228V","4","2968","1","Y","3RD TRACK PORTLOCK","4","0066.5","1","DTTX","064019","010","Y","","","","","2","0","0","0","0","0","0","0","0","0","18","0","0","0","0","4","0","0","0","0","12600","1500","H702","","0","0","0","0","H702","1","4","003","14100","","51C710","0","000000","0","1","1","1","0","03","40","03","40","1","2","E","1L","0","VIRGIN","E","171","3150","1995","0","0","0","0","0","0","NORFOLK","710","00","00","","N","","","FAILURE OF CREW MEMBER TO PROPERLY HANDLE DUAL CONTROL SWITCH IN HAND THROW OPERATION RESULTED IN TR","AIN 228V113 PULLING OVER SWITCH, REVERSED MOVEMENT AND DERAILED 4 CARS.","","","","","","","","","","","","","","","","","","","","","","",
"95","12","NW","087170","","","","","95","12","NW","087170","RC20","","95","12","29","1","0","AM","01","0","0","0","0","VIRGINIA","ROANOKE","261.0","51","23","4","1","008","R","427V","4","6850","1","Y","RECEIVING TRACK NO.","1","","2","ETTX","852938","041","N","","","","","3","0","0","0","0","0","0","0","0","0","36","0","83","0","0","0","0","3","0","0","18950","17500","H525","","0","0","0","0","H525","2","1","008","36450","","51C770","0","000000","0","1","0","1","0","07","00","07","00","1","2","E","1L","0","VIRGIN","N","111","3152","1995","0","0","0","0","0","0","ROANOKE","770","00","00","","N","","","TRAIN 427V227 DERAILED THREE CARS ON RECEIVING TRACK NO. 29 ACCOUNT IMPROPER APPLICATION OF INDEPEND","ENT BRAKES.","","","","","","","","","","","","","","","","","","","","","","",
"95","12","NW","087179","","","","","95","12","NW","087179","","","95","12","30","2","5","PM","01","0","0","0","0","POCAHONTAS","DELBARTON","10.60","54","30","2","1","004","E","Y04U","3","2696","1","Y","NO. 1","1","","2","NW","143062","006","N","","","","","1","0","0","0","0","0","0","0","0","0","0","0","91","0","0","0","0","3","0","0","15100","1200","T313","","0","0","0","0","T313","2","1","004","20300","","54C059","0","000000","0","1","0","1","0","04","35","04","35","1","2","E","1L","0","POCAHO","O","209","3153","1995","0","0","0","0","0","0","MINGO","059","","","","N","","","TRAIN Y04U230 SHOVED INTO NO. 1 TRACK AND SPLIT THE NO. 2 TRACK SWITCH DERAILING THREE CARS AND STRI","KING A CUT OF CARS IN NO. 2 TRACK ACCOUNT DETERIORATED HEAD BLOCK TIES ALLOWED SWITCH TO OPEN UNDER","MOVEMENT.","","","","","","","","","","","","","","","","","","","","","",
"95","12","WC","G2809","","","","","95","12","WC","G2809","","","95","12","10","1","30","AM","12","0","0","0","0","WESTERN","STEVENS POINT","YARD","55","-10","4","1","004","E","2359","4","910","7","Y","#6 TRACK","1","","2","WC","024014","020","N","","","","","1","0","0","0","0","0","0","0","0","0","1","0","25","0","0","0","0","8","0","0","29300","2000","H306","H704","0","0","0","0","H306","2","1","004","31300","","55C097","0","000000","0","1","0","1","1","01","31","01","31","1","4","","3L","0","WESTER","N","435","3222","1995","0","0","0","0","0","0","PORTAGE","097","","","","N","","","THE 2359 SWITCH CREW HAD SHOVED CARS ON #6 TRACK AND THROUGH THE SWITCH ON THE EAST END OF YARD. SIN","CE THERE WAS NO ONE ON THE LEADING END OF THE MOVEMENT, THE CREW WAS UNAWARE THEY HAD GONE THROUGH T","HE SWITCH. THE CREW CONTINUED THEIR SWITCHING DUTIES IN THE STEVENS POINT YARD. UPON THEIR RETURN TO","#6 TRACK, THEY ATTEMPTED TO PULL THE TRACK, AND IN TURN PULLED THE CARS BACK THROUGH THE SWITCH CAU","SING THE LAST EIGHT CARS TO DERAIL.","","","","","","","","","","","","","","","","","","","",
"95","12","WC","G2810","","","","","95","12","WC","G2810","X030","","95","12","13","4","45","AM","04","0","0","0","0","WESTERN","BRADLEY","197.80","55","7","4","2","009","E","L091","3","5500","1","Y","SINGLE MAIN TRACK","2","001.61","1","WC","053100","026","Y","","","","","2","0","0","0","0","0","0","0","0","0","38","0","9","0","0","0","0","0","0","0","22600","0","H401","","0","0","0","0","H401","1","2","009","29000","","55C069","0","000000","0","1","0","1","0","09","15","09","15","1","4","","3L","0","WESTER","O","467","3223","1995","0","0","0","0","0","0","LINCOLN","069","00","00","","N","","","WC TRAIN L015-12 WAS PULLING CARS OFF TRACK 2 IN THE BRADLEY YARD WHEN THE ENGINEER FAILED TO STOP A","T THE CLEARANCE POINT, CAUSING ENGINE 3025 TO FOUL MAIN LINE TRACK. AT THE SAME TIME, WC TRAIN L0910","WAS PULLING OUT OF BRADLEY ON THE MAIN LINE TRACK. ENGINE 3025 STRUCK THE SIDE OF THE L0910'S TRAIN","CAUSING DAMAGE TO 11 CARS BUT NOT DERAILING THEM. ONLY ENGINE 3025 WAS DERAILED IN THE INCIDENT. L0","15'S CREW NOTIFIED L0910'S CREW THAT THEY HAD JUST `CORNERED` THEM.","","","","","","","","","","","","","","","","","","","",
